[2025-05-02T22:49:17.021+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895210.json introuvable, j’ignore.
[2025-05-02T22:49:17.627+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895210.json introuvable, j’ignore.
[2025-05-02T22:49:18.231+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895202.json introuvable, j’ignore.
[2025-05-02T22:49:18.434+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895202.json introuvable, j’ignore.
[2025-05-02T22:49:18.700+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895194.json introuvable, j’ignore.
[2025-05-02T22:49:19.090+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895194.json introuvable, j’ignore.
[2025-05-02T22:49:19.373+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895182.json introuvable, j’ignore.
[2025-05-02T22:49:19.657+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895182.json introuvable, j’ignore.
[2025-05-02T22:49:19.869+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895167.json introuvable, j’ignore.
[2025-05-02T22:49:20.081+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895167.json introuvable, j’ignore.
[2025-05-02T22:49:20.319+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895158.json introuvable, j’ignore.
[2025-05-02T22:49:20.537+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895158.json introuvable, j’ignore.
[2025-05-02T22:49:20.754+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895153.json introuvable, j’ignore.
[2025-05-02T22:49:20.974+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895153.json introuvable, j’ignore.
[2025-05-02T22:49:21.165+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895113.json introuvable, j’ignore.
[2025-05-02T22:49:21.382+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895113.json introuvable, j’ignore.
[2025-05-02T22:49:21.632+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895095.json introuvable, j’ignore.
[2025-05-02T22:49:21.883+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895095.json introuvable, j’ignore.
[2025-05-02T22:49:22.236+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895067.json introuvable, j’ignore.
[2025-05-02T22:49:22.650+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895067.json introuvable, j’ignore.
[2025-05-02T22:49:23.034+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895060.json introuvable, j’ignore.
[2025-05-02T22:49:23.276+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895060.json introuvable, j’ignore.
[2025-05-02T22:49:23.505+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895052.json introuvable, j’ignore.
[2025-05-02T22:49:23.714+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895052.json introuvable, j’ignore.
[2025-05-02T22:49:24.004+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890561.json introuvable, j’ignore.
[2025-05-02T22:49:24.211+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890561.json introuvable, j’ignore.
[2025-05-02T22:49:24.442+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890505.json introuvable, j’ignore.
[2025-05-02T22:49:24.680+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890505.json introuvable, j’ignore.
[2025-05-02T22:49:24.933+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890511.json introuvable, j’ignore.
[2025-05-02T22:49:25.186+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890511.json introuvable, j’ignore.
[2025-05-02T22:49:25.462+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890515.json introuvable, j’ignore.
[2025-05-02T22:49:25.783+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890515.json introuvable, j’ignore.
[2025-05-02T22:49:26.171+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890411.json introuvable, j’ignore.
