[2025-05-03T00:07:09.387+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895258.json introuvable, j’ignore.
[2025-05-03T00:07:09.582+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895244.json introuvable, j’ignore.
[2025-05-03T00:07:09.816+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895244.json introuvable, j’ignore.
[2025-05-03T00:07:10.012+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895232.json introuvable, j’ignore.
[2025-05-03T00:07:10.241+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895232.json introuvable, j’ignore.
[2025-05-03T00:07:10.622+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895210.json introuvable, j’ignore.
[2025-05-03T00:07:10.962+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895210.json introuvable, j’ignore.
[2025-05-03T00:07:11.344+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895202.json introuvable, j’ignore.
[2025-05-03T00:07:11.790+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895202.json introuvable, j’ignore.
[2025-05-03T00:07:12.175+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895194.json introuvable, j’ignore.
[2025-05-03T00:07:12.430+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895194.json introuvable, j’ignore.
[2025-05-03T00:07:12.726+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895182.json introuvable, j’ignore.
[2025-05-03T00:07:13.070+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895182.json introuvable, j’ignore.
[2025-05-03T00:07:14.883+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895167.json introuvable, j’ignore.
[2025-05-03T00:07:16.926+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895167.json introuvable, j’ignore.
[2025-05-03T00:07:17.230+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895158.json introuvable, j’ignore.
[2025-05-03T00:07:17.425+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895158.json introuvable, j’ignore.
[2025-05-03T00:07:17.634+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895153.json introuvable, j’ignore.
[2025-05-03T00:07:17.888+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895153.json introuvable, j’ignore.
[2025-05-03T00:07:18.163+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895113.json introuvable, j’ignore.
[2025-05-03T00:07:18.399+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895113.json introuvable, j’ignore.
[2025-05-03T00:07:18.610+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895095.json introuvable, j’ignore.
[2025-05-03T00:07:18.849+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895095.json introuvable, j’ignore.
[2025-05-03T00:07:19.071+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895067.json introuvable, j’ignore.
[2025-05-03T00:07:19.281+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895067.json introuvable, j’ignore.
[2025-05-03T00:07:19.483+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895060.json introuvable, j’ignore.
[2025-05-03T00:07:19.660+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895060.json introuvable, j’ignore.
[2025-05-03T00:07:19.858+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3895052.json introuvable, j’ignore.
[2025-05-03T00:07:20.063+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3895052.json introuvable, j’ignore.
[2025-05-03T00:07:20.307+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890561.json introuvable, j’ignore.
[2025-05-03T00:07:20.508+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890561.json introuvable, j’ignore.
[2025-05-03T00:07:20.703+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890505.json introuvable, j’ignore.
